"symbol","model","date2","date1","T","bval","sval","curr","cper","tper","S","Gpr"
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20241025 05:00:00","20241120 15:00:00",87,269.19,342.03,342.03,27.06,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20240819 05:00:00","20241015 05:00:00",87,222.72,219.57,342.03,-1.41,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20240613 05:00:00","20240805 05:00:00",87,182.47,198.88,342.03,8.99,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20240429 05:00:00","20240604 05:00:00",87,194.05,174.77,342.03,-9.94,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20240327 05:00:00","20240416 05:00:00",87,179.83,157.11,342.03,-12.63,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20240208 05:00:00","20240306 05:00:00",87,189.56,176.54,342.03,-6.87,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20231108 05:00:00","20240111 05:00:00",87,222.11,227.22,342.03,2.3,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20231011 05:00:00","20231020 05:00:00",87,262.99,211.99,342.03,-19.39,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20230825 05:00:00","20231003 05:00:00",87,238.59,246.53,342.03,3.33,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20230509 05:00:00","20230804 05:00:00",87,169.15,253.86,342.03,50.08,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20230324 05:00:00","20230420 05:00:00",87,190.41,162.99,342.03,-14.4,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20230111 05:00:00","20230310 05:00:00",87,123.22,173.44,342.03,40.76,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20221130 05:00:00","20221216 05:00:00",87,194.7,150.23,342.03,-22.84,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20221025 05:00:00","20221114 05:00:00",87,222.415,190.95,342.03,-14.15,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20220916 05:00:00","20221007 05:00:00",87,303.35,223.07,342.03,-26.46,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20220706 05:00:00","20220825 05:00:00",87,695.2,296.07,342.03,-57.41,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20220531 05:00:00","20220705 05:00:00",87,758.26,699.2,342.03,-7.79,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20220311 05:00:00","20220426 05:00:00",87,795.35,876.42,342.03,10.19,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20220302 05:00:00","20220304 05:00:00",87,879.89,838.29,342.03,-4.73,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20220209 05:00:00","20220228 05:00:00",87,932,870.43,342.03,-6.61,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20211228 05:00:00","20220124 05:00:00",87,1088.47,930,342.03,-14.56,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20210802 05:00:00","20211201 05:00:00",87,709.67,1095,342.03,54.3,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20210527 05:00:00","20210729 05:00:00",87,630.85,677.35,342.03,7.37,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20210315 05:00:00","20210507 05:00:00",87,707.94,672.37,342.03,-5.02,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20201113 05:00:00","20210216 05:00:00",87,408.5,796.22,342.03,94.91,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20200924 05:00:00","20201030 05:00:00",87,387.79,388.04,342.03,0.06,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20200817 05:00:00","20200831 05:00:00",87,1835.64,498.32,342.03,-72.85,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20200601 05:00:00","20200814 05:00:00",87,898.1,1650.71,342.03,83.8,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20200331 05:00:00","20200528 05:00:00",87,524,805.81,342.03,53.78,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20191014 05:00:00","20200306 05:00:00",87,256.96,703.48,342.03,173.77,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20190828 05:00:00","20191007 05:00:00",87,215.59,237.72,342.03,10.26,796.04,39,44.83
