"CREX";"What Does Creative Realities Inc39s NASDAQCREX Balance Sheet Tell Us About It";"LOUISVILLE Ky March 28 2019 PRNewswire  Creative Realities Inc Creative Realities CRI or the Company NASDAQ CREX CREXW a leading provider of digital marketing solutions announced its financial results for the year ended December 31 2018 including the quarter ended as of the same date  Rick Mills Chief Executive Officer remarked During 2018 our management team executed on several key initiatives supporting our strategic vision including continuing our doubledigit organic revenue growth simplifying our capital structure uplisting to Nasdaq and gaining scale through the acquisition of Allure Global Solutions Inc Allures expertise strengthened our market presence in fast growing verticals such as quick service restaurants theater and sports venues  Revenues were 225 million for the year ended December 31 2018 an increase of 48 million or 27 compared to 2017";"14"
"LMB";"CORRECTING and REPLACING Limbach Holdings Reports Fourth Quarter and Fiscal Year 2018 Results";"Limbach Holdings Inc LMB Limbach or the Company today  announced that it has entered into a 65 million senior secured credit  facility comprised of a 40 million term loan which will refinance  existing indebtedness and a 25 million delayed draw term loan to be  used to finance potential acquisitions  The lead arranger of the term  loan facility is Colbeck Capital Management LLC  The Company also announced the closing of a 15 million senior secured  ABL revolving credit facility with Citizens Bank NA a member of the  prior credit facility syndicate";" 6"
"SOLO";"Electra Meccanica to Showcase SOLO Electric Vehicle at Advanced Clean Transportation EXPO in Long Beach California on April 2326";"Electra Meccanica Vehicles Corp SOLO Electra Meccanica or the Company a designer and manufacturer of electric vehicles has signed a multiyear promotional program with Denver CObased Apollo Brands LLC Apollo makers of Apollo Energy Gum and other specialty brands  The promotional program will involve the use of Electra Meccanicas SOLO singlepassenger EVs to be used for the distribution of Apollos products to their retail partners throughout Denver Boulder and much of the Front Range region  The emissionsfree electric vehicles are perfectly aligned with Apollos commitment to sustainability and the environment and showcases Electra Meccanicas increasing adoption for smallprofile delivery purposes in a wide range of industries";" 6"
"LIFE";"aTyr Pharma to Host Inaugural Summit Meeting on Neuropilin2 NRP2 Biology";"SAN DIEGO April  11 2019  GLOBE NEWSWIRE  aTyr Pharma Inc LIFE a biotherapeutics company engaged in the discovery and development of innovative medicines based on novel immunological pathways today announced that it has entered into a definitive agreement with The Federated Kaufmann Small Cap Fund and Paul Schimmel PhD an existing stockholder and a director of the company to purchase an aggregate of 50 million of aTyrs common stock in a registered direct offering conducted without an underwriter or placement agent  Proceeds from the offering will be used to advance clinical development of aTyrs lead therapeutic candidate ATYR1923 and for other general corporate purposes  The securities described above are being offered pursuant to a shelf registration statement File No 333211998 filed with the Securities and Exchange Commission SEC which was declared effective on June 22 2016";" 5"
"FLKS";"Lifshitz  Miller LLP Announces Investigation of AmpliPhi Biosciences Corporation Churchill Capital Corporation DaVita Inc Flex Pharma Inc MYnd Analytics Inc SunCoke Energy Partners LP Top Image Systems Ltd and Uniti Financial Corporation";"Flex Pharma Inc  today announced its financial results for the three months and fiscal year ended December 31 2018";" 5"
"SLNO";"Soleno Therapeutics to Present at the 2019 HC Wainwright Global Life Sciences Conference";"As of late it has definitely been a great time to be an investor in Capnia";" 4"
"SCON";"Edited Transcript of SCON earnings conference call or presentation 21Mar19 300pm GMT";"AUSTIN Texas March 21 2019  Superconductor Technologies Inc STI Nasdaq SCON reported financial results for the quarter and year ended December 31 2018 In March";" 3"
"FTEK";"Adding Efficiency to Cannabis Growth";"Top Ranked Momentum Stocks to Buy for April 15th";" 3"
"TTOO";"T2 Biosystems Reports Granting of Inducement Awards";"LEXINGTON Mass April 03 2019  T2 Biosystems Inc NASDAQTTOO a leader in the development and commercialization of innovative medical diagnostic products for critical";" 3"
"SPI";"SPI Energy Co Ltd Completes Acquisition of 1998 Megawatts of Solar PV Projects in Greece";"My expectations could not have been lower coming into February but I guess having that preconception shattered is the best thing that could have happened As it turns out February is quickly becoming ";" 3"
"LEDS";"SemiLEDs Reports Second Quarter Fiscal Year 2019 Financial Results";"HSINCHUTaiwan April 08 2019  SemiLEDs CorporationNASDAQLEDS will report financial results for the 2019 fiscal Second quarter endedFebruary 28 2019and outlook";" 2"
